hhsize97,yycali,pobre,mpcalif,numunder15,fatherathome,motherathome,fatherlit,motherlit,fatherschool,motherschool,fatherminprim,motherminprim,fatherminsec,motherminsec,verypoor,poor,notrich,goodatschool,cansec,canfurther,canhigh,canuni,desgirlsec,desgirlfurther,desgirlhigh,desgirluni,desboysec,desboyfurther,desboyhigh,desboyuni,breakfast,whynobreakfast,talkwithteacher,whytalkwithteacher,guardian,schoolwork,problemdiscipline,problemteachers,problemcommunication,problemteachattendance,teacherprepared,teacherfulfilled,teacherpunctual,teacherpatient,helpsibgirl,helpsibboy,helpworkgirl,helpworkboy,earnmongirl,earnmonboy,weekexp1,weekexp2,weekexp3,weekexp4,weekexp5,monthexp1,monthexp2,monthexp3,sixmonthexp1,sixmonthexp2,sixmonthexp3,sixmonthexp4,sixmonthexp5,sixmonthexp6,sixmonthexp7,sixmonthexp8,sixmonthexp9,sixmonthexp10,sixmonthexp11,sixmonthexp12,spendmoreon1,spendmoreon2,spendmoreon3,spendmoreon4,spendmoreon5,spendmoreon6,spendmoreon7,spendmoreon11,spendmoreon12,spendmoreon14,delegate,subdelegate,commissioner,commissary,devcommittee,healthcommittee,educommittee,agricommittee,DICONSA,prodcoop,church,politorga,parentassoc,commassembly,NGO,commwork,watersource,trash,allelectric,partselectric,partsewers,phone,numberpreschools,numberprimschools,numbertelesecondaria,primeactivity,secondactivity,thirdactivity,childlabor,avchildwage,ttprivsec,ttpubsec,tttelesec,ttclosestsec,ttCONALEP,ttCETA,ttCETIS,ttCEBTA,ttCEBTIS,ttprivhigh,ttpubhigh,ttclosesthigh,indloc,indice,grado,female,age97,attend97,attend98,treatment,middleschool00,somemiddleschool00,missingmiddle00,highschool,highschool03,highschool03fin,missing00,missing03
7,603,Pobre,3.72,4,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,1,,1,2,1,1,1,1,1,1,1,2,2,1,5,6,8,12,15,15,0,40,0,0,15,120,220,30,185,60,0,80,0,0,0,0,20,0,50,25,1,0,3,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,2,1,0,1,0,0,1,1,0,4,1,3,1,10,,,,,,,,,,,,,1,.74346,5,0,13,1,1,1,1,1,0,0,0,0,0,0
8,989,No Pobre,2.7,3,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,,1,2,1,1,1,2,1,1,1,1,1,1,10,10,15,15,20,15,0,90,0,0,6,450,152,300,0,0,100,100,0,0,135,0,0,0,184,0,2,0,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,2,1,0,1,0,0,1,1,0,4,1,3,1,10,,,,,,,,,,,,,1,.74346,5,0,14,1,1,1,1,1,0,1,1,1,0,0
11,576,No Pobre,4.99,6,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,1,1,0,1,,0,,2,1,2,2,1,2,1,1,1,1,8,8,8,8,15,15,0,0,0,0,10,32,40,0,100,0,0,200,0,0,300,150,60,60,1200,60,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,2,1,0,1,0,0,1,1,0,4,1,3,1,10,,,,,,,,,,,,,1,.74346,5,0,13,1,1,1,1,1,0,0,1,1,0,0
12,741,Pobre,5.21,6,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,1,1,1,2,2,2,2,1,1,2,1,12,11,10,13,16,15,0,0,0,0,0,30,100,50,0,0,0,0,0,0,20,20,20,45,0,10,1,0,2,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,2,1,0,1,0,0,1,1,0,4,1,3,1,10,,,,,,,,,,,,,1,.74346,5,1,13,1,1,1,0,0,0,0,0,0,0,0
8,719,Pobre,3.43,3,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,,1,1,1,1,2,2,2,2,1,1,1,1,10,8,6,9,18,15,0,0,0,0,15,50,0,0,0,0,100,150,150,0,7,70,17,0,0,10,1,0,2,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,2,1,0,1,0,0,1,1,0,4,1,3,1,10,,,,,,,,,,,,,1,.74346,5,0,13,1,1,1,0,1,0,0,0,0,0,0
9,584,Pobre,5.35,7,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,2,1,2,2,2,2,1,1,1,1,10,10,10,4,15,15,0,0,0,0,0,100,0,0,100,20,200,200,150,150,100,100,70,70,0,30,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,2,1,0,1,0,0,1,1,0,4,1,3,1,10,,,,,,,,,,,,,1,.74346,5,1,14,1,1,1,,,1,,,,1,1
4,707,Pobre,3.1,1,0,1,,1,,1,,0,,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,,1,1,2,1,2,2,2,2,1,1,1,1,15,15,15,15,15,15,0,0,0,0,0,30,0,0,0,0,0,0,100,80,0,0,98,600,120,20,1,0,2,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,2,1,0,1,0,0,1,1,0,4,1,3,1,10,,,,,,,,,,,,,1,.74346,5,1,12,1,1,1,0,1,0,0,1,1,0,0
9,409,Pobre,3.76,4,1,1,1,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,,1,2,1,1,1,1,1,1,2,1,1,2,7,7,9,13,18,18,30,0,0,0,0,300,0,0,0,0,100,50,0,0,0,0,0,0,200,120,1,0,0,0,0,3,2,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,2,1,0,0,0,0,1,1,0,9,2,99,1,10,,,.66666669,.66666669,1.5,,,,1,,.41666666,.41666666,,1.31476,5,0,12,1,1,0,0,0,0,,1,1,1,0
6,608.17,Pobre,2.87,2,1,1,1,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,,1,2,1,1,1,2,2,2,1,1,1,1,10,10,,13,,13,0,0,0,0,20,50,0,0,0,0,0,0,50,40,0,100,90,90,100,10,3,0,2,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,2,1,0,0,0,0,1,1,0,9,2,99,1,10,,,.66666669,.66666669,1.5,,,,1,,.41666666,.41666666,,1.31476,5,0,13,1,1,0,1,1,0,0,0,0,0,0
5,756.5,No Pobre,3.15,3,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,1,1,1,0,1,,1,2,1,1,2,2,2,2,1,1,1,1,15,15,13,14,15,14,0,10,5,0,8,20,0,0,30,0,0,68,0,0,50,340,18,0,50,44,3,1,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,2,1,0,0,0,0,1,1,0,9,2,99,1,10,,,.66666669,.66666669,1.5,,,,1,,.41666666,.41666666,,1.31476,5,0,14,1,1,0,1,1,0,0,0,0,0,0
